gameDate,game,competition,bet,market,betValue,betTime,betAmount,odds,isMarketMaker,wallet
2026-06-25 20:00:00 UTC,Ecuador vs Germany,FIFA World Cup ,Germany,1X2,513.0,2026-06-24 00:06:18 UTC,513.0,1.5175,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-25 20:00:00 UTC,Ecuador vs Germany,FIFA World Cup ,Germany,1X2,154.0,2026-06-23 23:56:51 UTC,154.0,1.5175,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 23:30:00 UTC,Colombia vs Portugal,FIFA World Cup ,Tie,1X2,0.0,2026-06-23 23:36:00 UTC,0.0,1.2488,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 23:30:00 UTC,Colombia vs Portugal,FIFA World Cup ,Tie,1X2,4.0,2026-06-23 23:35:28 UTC,4.0,1.2488,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 23:30:00 UTC,Colombia vs Portugal,FIFA World Cup ,Not Colombia,1X2,3.0,2026-06-23 23:31:15 UTC,3.0,1.7525,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 23:30:00 UTC,Colombia vs Portugal,FIFA World Cup ,Tie,1X2,0.0,2026-06-23 23:31:13 UTC,0.0,1.2488,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 23:30:00 UTC,Colombia vs Portugal,FIFA World Cup ,Tie,1X2,0.0,2026-06-23 23:31:12 UTC,0.0,1.2488,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 23:30:00 UTC,Colombia vs Portugal,FIFA World Cup ,Not Colombia,1X2,3.0,2026-06-23 23:31:10 UTC,3.0,1.7525,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 23:30:00 UTC,Colombia vs Portugal,FIFA World Cup ,Not Colombia,1X2,50.0,2026-06-23 23:30:45 UTC,50.0,1.7525,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 23:30:00 UTC,Colombia vs Portugal,FIFA World Cup ,Tie,1X2,82.0,2026-06-23 23:30:44 UTC,82.0,1.2488,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
